name,context,code,level,type,extract,rel,year,label,entitys
随县,"[湖北省, 随州市]",421321.0,3.0,add,2009 年 随县 获 国务院 批准 设立 现 随州市 曾都区 市政府 所在地 区划 划出 19 乡镇 成立 随县 县城 驻厉 山镇     2009 年 月 国务院 批准 设立 随县 随州市 曾都区 乡镇 随县 行政区域 月 29 日 随县 正式 成立     2009 年 设立 随县 原 曾都区 厉山 高城 殷店 草店 小林 淮河 万 吴山 唐县 尚市 新街 安居 澴 潭 洪山 长岗 三里 岗 柳林 均川 万福 19 镇 划归 随县 管辖 随县 人民政府 驻厉 山镇,新增县／市／区,2008-2009,OOOO O XX O OOO OO OO O XXX XXX OOO OOO OO OO OO OO OO XX OO OO OO     OOOO O O OOO OO OO XX XXX XXX OO XX OOOO O OO O XX OO OO     OOOO O OO XX O XXX OO OO OO OO OO OO O OO XX OO OO OO O O OO OO OO O OO OO OO OO O OO XX OO XX OOOO OO OO,"[随县, 随州市, 曾都区, 唐县]"
南汇区,"[上海市, 南汇区]",310119.0,2.0,del,2009 年 月 国务院 批复 同意 撤销 南汇区 行政区域 整体 并入 浦东新区,合并,2008-2009,OOOO O O OOO OO OO OO XXX OOOO OO OO XXXX,"[浦东新区, 南汇区]"
塘沽区,"[天津市, 塘沽区]",120107.0,2.0,del,2009 年 11 月 撤区 并入 天津市 滨海新区,合并,2008-2009,OOOO O OO O OO OO XXX XXXX,"[滨海新区, 天津市]"
汉沽区,"[天津市, 汉沽区]",120108.0,2.0,del,2009 年 10 月 21 日 滨海新区 汉沽 管委会 工委,合并,2008-2009,OOOO O OO O OO O XXXX OO OOO OO,[滨海新区]
大港区,"[天津市, 大港区]",120109.0,2.0,del,2009 年 10 月 21 日 国务院 批准 撤消 汉沽区 塘沽区 大港区 正式 合并 滨海新区 直属 天津市     人民网 天津 2009 年 11 月 日电 继 深圳经济特区 上海浦东新区 带动 区域 发展 新 经济 增长极 天津 滨 张 国务院 行政区划 调整 涉及 各类 机构 精简 统一 效能 原则 设置 严格执行 中央 厉行节约 国家 土地 管理 法规 政策 加大 区域 资源整合 力度 优化 总体布局 区域 经济社会 协调 健康 发展     2009 年 10 月 下旬 2010 年 月底 滨海新区 管理 体制改革 分为 五个 阶段 有序 推进     2009 年 11 月 中旬 2010 年 月 上旬 陆续 选举 第一届 区委 区 纪委 机构 区 人大常委会 区 政协常委会 人员 区政府 区长 副区长 区 法院院长 区 检察院 检察长,合并,2008-2009,OOOO O OO O OO O OOO OO OO XXX XXX XXX OO OO XXXX OO XXX     OOO OO OOOO O OO O OO O OOOOOO OOXXXX OO OO OO O OO OOO OO O O OOO OOOO OO OO OO OO OO OO OO OO OO OOOO OO OOOO OO OO OO OO OO OO OO OOOO OO OO OOOO OO OOOO OO OO OO     OOOO O OO O OO OOOO O OO XXXX OO OOOO OO OO OO OO OO     OOOO O OO O OO OOOO O O OO OO OO OOO OO O OO OO O OOOOO O OOOOO OO OOO OO OOO O OOOO O OOO OOO,"[塘沽区, 滨海新区, 汉沽区, 浦东新区, 大港区, 天津市]"
红寺堡区,"[宁夏回族自治区, 吴忠市]",640303.0,3.0,add,2009 年 月 30 日 国务院 国函 2009 122 号 批复 同意 设立 吴忠市 红寺堡区 吴忠市 红寺堡 镇 太阳 山镇 大河乡 南川 乡 行政区域 红寺堡区 行政区域 区 人民政府 驻 红寺堡 镇,新增县／市／区,2008-2009,OOOO O O OO O OOO OO OOOO OOO O OO OO OO XXX XXXX XXX OOO O OO OO OOO OO O OOOO XXXX OOOO O OOOO O OOO O,"[红寺堡区, 吴忠市]"
通州区,"[江苏省, 南通市]",320612.0,3.0,add,区域 地理坐标 北纬 39 ° 36 ′ 40 ° 02 ′ 东经 116 ° 32 ′ 116 ° 56 ′ 东西 宽 36.5 公里 南北 长 48 公里 面积 906 平方公里 2010 年 常住人口 129.8 万 区 人民政府 驻 北京市 新 华北 街 161 号,撤县（市）设区,2008-2009,OO OOOO OO OO O OO O OO O OO O OO OOO O OO O OOO O OO O OO O OOOO OO OO O OO OO OO OOO OOOO OOOO O OOOO OOOOO O O OOOO O XXX O OO O OOO O,[北京市]
通州市,"[江苏省, 南通市]",320683.0,3.0,del,2009 年 月 日 撤销 通州市 设立 南通市 通州区,撤县（市）设区,2008-2009,OOOO O O O OO XXX OO XXX XXX,"[通州市, 南通市, 通州区]"
滨海新区,"[天津市, 滨海新区]",120116.0,2.0,add,张 2009 年 月 12 日 天津市 滨海新区 总 投资 超过 1.5 万亿元 加快 推进 南港 工业区 于家堡 响螺湾 中心 商务区 东疆 保税 港区 十大 工程     2009 年 11 月 国务院 正式 批复 滨海新区 行政 体制改革 方案 同意 撤销 天津市 塘沽区 汉沽区 大港区 设立 天津市 滨海新区 以原 塘沽区 汉沽区 大港区 行政区域 滨海新区 行政区域,合并,2008-2009,O OOOO O O OO O XXX XXXX O OO OO OOO OOO OO OO OO OOO OOO OOO OO OOO OO OO OO OO OO     OOOO O OO O OOO OO OO XXXX OO OOOO OO OO OO XXX XXX XXX XXX OO XXX XXXX OO XXX XXX XXX OOOO XXXX OOOO,"[滨海新区, 天津市, 汉沽区, 塘沽区, 大港区]"
八道江区,"[吉林省, 白山市]",220602.0,3.0,just_name_change,2010 年 月 22 日 民政部 吉林省 白山市 八道江区 更名 浑江区 批复 民函 2010 40 号 国务院 批准 同意 白山市 八道江区 更名 浑江区,更名,2009-2010,OOOO O O OO O OOO XXX XXX XXXX OO XXX OO OO OOOO OO O OOO OO OO XXX XXXX OO XXX,"[白山市, 八道江区, 吉林省, 浑江区]"
铜山区,"[江苏省, 徐州市]",320312.0,3.0,add,2010 年 铜山县 改为 铜山区,撤县（市）设区,2009-2010,OOOO O XXX OO XXX,"[铜山县, 铜山区]"
宣武区,"[北京市, 宣武区]",110104.0,2.0,del,2010 年 月 国务院 批复 同意 撤销 北京市 西城区 宣武区 设立 新 北京市 西城区 以原 西城区 宣武区 行政区域 西城区 行政区域,合并,2009-2010,OOOO O O OOO OO OO OO XXX XXX XXX OO O XXX XXX OO XXX XXX OOOO XXX OOOO,"[西城区, 北京市, 宣武区]"
崇文区,"[北京市, 崇文区]",110103.0,2.0,del,2010 年 国务院 正式 批复 北京市政府 调整 首都 功能 核心区 行政区划 请示 同意 撤销 北京市 崇文区 东城区 设立 新 东城区 以原 崇文区 东城区 行政区域 新 东城区 行政区域,合并,2009-2010,OOOO O OOO OO OO XXXOO OO OO OO OOO OOOO OO OO OO XXX XXX XXX OO O XXX OO XXX XXX OOOO O XXX OOOO,"[北京市, 东城区, 崇文区]"
文山市,"[云南省, 文山壮族苗族自治州]",532601.0,3.0,add,2010 年 12 月 日 国务院 批准 同意 撤销 文山县 设立 文山市,撤县设市,2009-2010,OOOO O OO O O OOO OO OO OO XXX OO XXX,"[文山县, 文山市]"
文山县,"[云南省, 文山壮族苗族自治州]",532621.0,3.0,del,2010 年 12 月 日 国务院 批准 同意 撤销 文山县 设立 文山市,撤县设市,2009-2010,OOOO O OO O O OOO OO OO OO XXX OO XXX,"[文山县, 文山市]"
潞西市,"[云南省, 德宏傣族景颇族自治州]",533103.0,3.0,just_name_change,公元 2010 年 07 月 潞西市 更名 芒市,更名,2009-2010,OO OOOO O OO O XXX OO XX,"[芒市, 潞西市]"
铜山县,"[江苏省, 徐州市]",320323.0,3.0,del,2010 年 铜山县 改为 铜山区,更名,2009-2010,OOOO O XXX OO XXX,"[铜山县, 铜山区]"
襄阳区,"[湖北省, 襄樊市]",420607.0,3.0,just_name_change,2010 年 12 月 日 国务院 批复 同意 湖北省 襄樊市 更名 襄阳市,更名,2009-2010,OOOO O OO O O OOO OO OO XXX XXX OO XXX,"[襄樊市, 襄阳市, 湖北省]"
襄樊市,"[湖北省, 襄樊市]",420600.0,3.0,just_name_change,2010 年 12 月 日 正式 更名 湖北省 襄阳市 地级市,更名,2009-2010,OOOO O OO O O OO OO XXX XXX OOO,"[襄阳市, 湖北省]"
威宁彝族回族苗族自治县,"[贵州省, 毕节地区]",522427.0,3.0,del,2013 年 月 日起 威宁彝族回族苗族自治县 贵州省 直管 试点,新增县／市／区,2010-2011,OOOO O O OO XXXXXXXXXXX XXX OO OO,"[威宁彝族回族苗族自治县, 贵州省]"
纳雍县,"[贵州省, 毕节地区]",522426.0,3.0,del,1950 年 隶属 毕节 专区 1970 年 隶属 毕节地区 2011 年 毕节地区 升级 毕节市 隶属于 毕节市,-,2010-2011,OOOO O OO OO OO OOOO O OO XXXX OOOO O XXXX OO XXX OOO XXX,"[毕节地区, 毕节市]"
织金县,"[贵州省, 毕节地区]",522425.0,3.0,del,2011 年底 撤销 毕节地区 县级 毕节市 设立 地级 毕节市 织金县 属 毕节市,-,2010-2011,OOOO OO OO XXXX OO XXX OO OO XXX XXX O XXX,"[织金县, 毕节地区, 毕节市]"
思南县,"[贵州省, 铜仁市]",520624.0,3.0,add,1949 年 隶属 铜仁 专区 1970 年 属 铜仁地区 2011 年 11 月 属 铜仁市,-,2010-2011,OOOO O OO OO OO OOOO O O XXXX OOOO O OO O O XXX,"[铜仁地区, 铜仁市]"
毕节市,"[贵州省, 毕节地区]",522401.0,3.0,del,2011 年 国务院 批准 撤销 毕节地区 设立 地级 毕节市,撤地区设市,2010-2011,OOOO O OOO OO OO XXXX OO OO XXX,"[毕节地区, 毕节市]"
毕节地区,"[贵州省, 毕节地区]",522400.0,3.0,del,2011 年 国务院 批准 撤销 毕节地区 设立 地级 毕节市,撤地区设市,2010-2011,OOOO O OOO OO OO XXXX OO OO XXX,"[毕节地区, 毕节市]"
南溪区,"[四川省, 宜宾市]",511503.0,3.0,add,2011 年 省 人民政府 同意 撤销 南溪县 设立 宜宾市 南溪区,撤县（市）设区,2010-2011,OOOO O O OOOO OO OO XXX OO XXX XXX,"[南溪县, 南溪区, 宜宾市]"
铜仁市,"[贵州省, 铜仁市]",520600.0,3.0,add,2011 年 10 月 22 日 撤消 铜仁地区 设 地级 铜仁市 撤消 原 县级 铜仁市 设 碧江区 以原 县级 铜仁市 行政区域 新 碧江区 行政区域 撤消 万山特区 设 铜仁市 万山区,撤地区设市,2010-2011,OOOO O OO O OO O OO XXXX O OO XXX OO O OO XXX O XXX OO OO XXX OOOO O XXX OOOO OO XXXX O XXX XXX,"[万山特区, 铜仁地区, 万山区, 铜仁市, 碧江区]"
万山区,"[贵州省, 铜仁市]",520603.0,3.0,add,2011 年 11 月 国务院 批复 同意 撤销 铜仁地区 设立 地级 铜仁市 设立 万山区,新增县／市／区,2010-2011,OOOO O OO O OOO OO OO OO XXXX OO OO XXX OO XXX,"[铜仁地区, 万山区, 铜仁市]"
望城区,"[湖南省, 长沙市]",430112.0,3.0,add,2011 年 月 撤销 湖南省 望城县 设立 长沙市 望城区 以原 望城县 行政区域 长沙市 望城区 行政区域,撤县（市）设区,2010-2011,OOOO O O OO XXX XXX OO XXX XXX OO XXX OOOO XXX XXX OOOO,"[望城县, 望城区, 湖南省, 长沙市]"
万山特区,"[贵州省, 铜仁地区]",522230.0,3.0,del,2011 年 11 月 国务院 批复 同意 撤销 铜仁地区 设立 地级 铜仁市 设立 万山区,新增县／市／区,2010-2011,OOOO O OO O OOO OO OO OO XXXX OO OO XXX OO XXX,"[铜仁地区, 万山区, 铜仁市]"
铜仁地区,"[贵州省, 铜仁地区]",522200.0,3.0,del,2011 年 10 月 22 日 撤消 铜仁地区 设 地级 铜仁市 撤消 原 县级 铜仁市 设 碧江区 以原 县级 铜仁市 行政区域 新 碧江区 行政区域 撤消 万山特区 设 铜仁市 万山区,撤地区设市,2010-2011,OOOO O OO O OO O OO XXXX O OO XXX OO O OO XXX O XXX OO OO XXX OOOO O XXX OOOO OO XXXX O XXX XXX,"[万山特区, 铜仁地区, 万山区, 铜仁市, 碧江区]"
綦江县,"[重庆市, 綦江县]",500222.0,2.0,del,2011 年 10 月 撤销 重庆 万盛区 綦江县 设立 綦江区,合并,2010-2011,OOOO O OO O OO OO XXX XXX OO XXX,"[綦江县, 万盛区, 綦江区]"
大足县,"[重庆市, 大足县]",500225.0,2.0,del,2011 年 10 月 国务院 批准 重庆市 撤销 双桥区 大足县 设立 大足区,合并,2010-2011,OOOO O OO O OOO OO XXX OO XXX XXX OO XXX,"[重庆市, 大足区, 双桥区, 大足县]"
双桥区,"[重庆市, 双桥区]",500111.0,2.0,just_name_change,二十一 世纪 2011 年 10 月 24 日经 国务院 同意 重庆市 调整 行政区划 批复 国函 2011 129 号 文件 批准 10 月 27 日 重庆市 三届 人大常委会 第二十七次 会议 表决 重庆市 人民代表大会常务委员会 设立 大足区 撤销 大足县 双桥区 大足县 双桥区 合并 成立 新 大足区 大足区 原 重庆市 双桥区 行政 代码 500111 邮政编码 400900 重庆市 人民政府 开设 重庆市 双桥 经济 技术开发区 简称 经开区 派出机构 重庆市 双桥 经济 技术开发区 管理 委员会 管理 双桥 经开区 市政 基建 城市规划 统筹 发展 民生 事宜,合并,2010-2011,OOO OO OOOO O OO O OO OO OOO OO XXX OO OOOO OO OO OOOO OOO O OO OO OO O OO O XXX OO OOOOO OOOOO OO OO XXX OOOOOOOOOOO OO XXX OO XXX XXX XXX XXX OO OO O XXX XXX O XXX XXX OO OO OOOOOO OOOO OOOOOO XXX OOOO OO XXX OO OO OOOOO OO OOO OOOO XXX OO OO OOOOO OO OOO OO OO OOO OO OO OOOO OO OO OO OO,"[重庆市, 大足区, 双桥区, 大足县]"
万盛区,"[重庆市, 万盛区]",500110.0,2.0,just_name_change,2011 年 11 月 设立 重庆市 万盛 经济 技术开发区,新增县／市／区,2010-2011,OOOO O OO O OO XXX OO OO OOOOO,[重庆市]
南溪县,"[四川省, 宜宾市]",511522.0,3.0,del,2011 年 省 人民政府 同意 撤销 南溪县 设立 宜宾市 南溪区,撤县（市）设区,2010-2011,OOOO O O OOOO OO OO XXX OO XXX XXX,"[南溪县, 南溪区, 宜宾市]"
含山县,"[安徽省, 马鞍山市]",340522.0,3.0,add,1965 年 月 28 日 含山 改 属 巢湖 专区 专区 改为 地区 行署 1999 年 月 日 撤销 巢湖 地区 设 地级 巢湖市 属地 级 巢湖市 2011 年 月 原地 级 巢湖市 区域 调整 含山县 划归 马鞍山市,归属变化,2010-2011,OOOO O O OO O OO O O OO OO OO OO OO OO OOOO O O O OO OO OO O OO XXX OO O XXX OOOO O O OO O XXX OO OO XXX OO OXXX,"[巢湖市, 鞍山市, 含山县]"
呈贡县,"[云南省, 昆明市]",530121.0,3.0,del,2010 年 月 日 呈贡县 七甸 街道 126 平方千米 呈贡县 人民政府 委托 阳宗海 旅游 度假区 管理 委员会 管理     2011 年 月 20 日 国务院 批准 国务院办公厅 下发 同意 云南省 调整 昆明市 部门 行政区划 批复 国函 2011 58 号 同意 撤销 呈贡县 设立 昆明市 呈贡区     张 2011 年 11 月 日 昆明市 呈贡县 撤县 设区 暨 加快 呈贡 发展 大会 市委 市人大 市政府 市政协 领导 昆明市 呈贡区 委 区 人大 区政府 区 政协 授牌 授印 从即日起 正式 启用     2011 年末 呈贡区 辖 龙城 斗南 吴家营 洛龙 乌龙 雨花 街道 29 社区 托管 洛羊 大渔 马 金铺 七甸 街道 36 社区 辖区 面积 461 平方千米,撤县（市）设区,2010-2011,OOOO O O O XXX OO OO OOO OOOO XXX OOOO OO OOO OO OOO OO OOO OO     OOOO O O OO O OOO OO OOOOOO OO OO XXX OO XXX OO OOOO OO OO OOOO OO O OO OO XXX OO XXX XXX     O OOOO O OO O O XXX XXX OO OO O OO OO OO OO OO OOO OOO OOO OO XXX XXX O O OO OOO O OO OO OO OOOO OO OO     OOOO OO XXX O OO OO OOO OO OO OO OO OO OO OO OO OO O OO OO OO OO OO OO OO OOO OOOO,"[呈贡区, 昆明市, 云南省, 呈贡县]"
和县,"[安徽省, 马鞍山市]",340523.0,3.0,add,2011 年 月 国务院 批准 国函 2011 84 号 县 沈巷 镇 划入 马鞍山市,归属变化,2010-2011,OOOO O O OOO OO OO OOOO OO O O OO O OO OXXX,[鞍山市]
望城县,"[湖南省, 长沙市]",430122.0,3.0,del,2011 年 月 撤销 湖南省 望城县 设立 长沙市 望城区 以原 望城县 行政区域 长沙市 望城区 行政区域,撤县（市）设区,2010-2011,OOOO O O OO XXX XXX OO XXX XXX OO XXX OOOO XXX XXX OOOO,"[望城县, 望城区, 湖南省, 长沙市]"
庐江县,"[安徽省, 巢湖市]",341421.0,3.0,del,2011 年 月 国务院 批准 撤销 地级 巢湖市 庐江县 划归 合肥市 管辖,归属变化,2010-2011,OOOO O O OOO OO OO OO XXX XXX OO XXX OO,"[巢湖市, 合肥市, 庐江县]"
江都区,"[江苏省, 扬州市]",321012.0,3.0,add,2011 年 11 月 13 日 国务院 批准 正式 撤市 设区 称为 扬州市 江都区,撤县（市）设区,2010-2011,OOOO O OO O OO O OOO OO OO OO OO OO XXX XXX,"[江都区, 扬州市]"
巢湖市,"[安徽省, 巢湖市]",341400.0,3.0,del,2011 年 月 14 日 撤销 地级 巢湖市 设立 县级 巢湖市 原地 级 巢湖市 所辖 一区 四县 划归 合肥 芜湖 马鞍山 三市 管辖,分解,2010-2011,OOOO O O OO O OO OO XXX OO OO XXX OO O XXX OO OO OO OO OO OO OOO OO OO,[巢湖市]
居巢区,"[安徽省, 巢湖市]",341402.0,3.0,del,2011 年 月 14 日 撤销 地级 巢湖市 设立 县级 巢湖市 原地 级 巢湖市 所辖 一区 四县 划归 合肥 芜湖 马鞍山 三市 管辖,归属变化,2010-2011,OOOO O O OO O OO OO XXX OO OO XXX OO O XXX OO OO OO OO OO OO OOO OO OO,[巢湖市]
江都市,"[江苏省, 扬州市]",321088.0,3.0,del,2011 年 11 月 13 日 国务院 批准 正式 撤市 设区 称为 扬州市 江都区,撤县（市）设区,2010-2011,OOOO O OO O OO O OOO OO OO OO OO OO XXX XXX,"[江都区, 扬州市]"
北屯市,"[新疆维吾尔自治区, 阿勒泰地区]",659005.0,3.0,add,1998 年 月 2002 年 10 月 2010 年 月 日 十师 三次 兵团 上报 设立 北屯市 请示 建议 采用 师市 合一 方式 设立 北屯市     2011 年 12 月 日 自治区 党委 副 书记 主席 努尔 白克力 签署 自治区 人民政府 北屯 设市 报 国务院 会议 文件     2011 年 12 月 20 日 国务院 批准 同意 设立 北屯市 新疆维吾尔自治区 直辖市 师市 合一 模式 管理     2011 年 12 月 28 日 新疆维吾尔自治区 北屯市 挂牌 仪式 十师 北屯市 新疆维吾尔自治区 北屯市 正式 成立,新增县／市／区,2010-2011,OOOO O O OOOO O OO O OOOO O O O OO OO OO OO OO XXX OO OO OO OO OO OO OO XXX     OOOO O OO O O OOO OO O OO OO OO OOO OO OOO OOOO OO OO O OOO OO OO     OOOO O OO O OO O OOO OO OO OO XXX XXXXXXXX OOO OO OO OO OO     OOOO O OO O OO O XXXXXXXX XXX OO OO OO XXX XXXXXXXX XXX OO OO,"[新疆维吾尔自治区, 北屯市]"
观山湖区,"[贵州省, 贵阳市]",520115.0,3.0,add,2012 年 11 月 15 日 国务院 批复 同意 原金 阳新 区 基础 设立 观山湖区 下辖 原 乌当区 金阳 街道 办事处 金华 镇 朱昌镇 清镇市 百花 湖乡     2012 年 12 月 21 日 观山湖区 挂牌 成立,新增县／市／区,2011-2012,OOOO O OO O OO O OOO OO OO OO OO O OO OO XXXX OO O XXX OO OO OOO OO O OOO XXX OO OO     OOOO O OO O OO O XXXX OO OO,"[清镇市, 乌当区, 观山湖区]"
名山区,"[四川省, 雅安市]",511803.0,3.0,add,2012 年 11 月 日 撤销 名山县 设立 雅安市 名山区 以原 名山县 行政区域 名山区 行政区域,撤县（市）设区,2011-2012,OOOO O OO O O OO XXX OO XXX XXX OO XXX OOOO XXX OOOO,"[雅安市, 名山区, 名山县]"
曹妃甸区,"[河北省, 唐山市]",130209.0,3.0,add,2012 年 月 11 日 国务院 批准 同意 撤销 唐海县 设立 唐山市 曹妃甸区,撤县（市）设区,2011-2012,OOOO O O OO O OOO OO OO OO XXX OO XXX XXXX,"[唐海县, 唐山市, 曹妃甸区]"
博望区,"[安徽省, 马鞍山市]",340506.0,3.0,add,2012 年 月 12 日 博望区 成立,新增县／市／区,2011-2012,OOOO O O OO O XXX OO,[博望区]
双湖县,"[西藏自治区, 那曲地区]",542431.0,3.0,add,2012 年 11 月 15 日 国务院 同意 西藏自治区 设立 双湖县 批复 国函 2012 191 号 设立 双湖县 尼玛县 措折 罗玛镇 协德乡 雅曲乡 措乡 措折 强玛乡 多玛乡 巴岭 乡 划归 双湖县 管辖 以措 折罗玛镇 协德乡 雅曲乡 措乡 措折 强玛乡 多玛乡 巴岭 乡 行政区域 双湖县 行政区域,新增县／市／区,2011-2012,OOOO O OO O OO O OOO OO XXXXX OO XXX OO OO OOOO OOO O OO XXX XXX OO OOO OOO OOO OO OO OOO OOO OO O OO XXX OO OO OOOO OOO OOO OO OO OOO OOO OO O OOOO XXX OOOO,"[尼玛县, 西藏自治区, 双湖县]"
名山县,"[四川省, 雅安市]",511821.0,3.0,del,2012 年 11 月 日 撤销 名山县 设立 雅安市 名山区 以原 名山县 行政区域 名山区 行政区域,撤县（市）设区,2011-2012,OOOO O OO O O OO XXX OO XXX XXX OO XXX OOOO XXX OOOO,"[雅安市, 名山区, 名山县]"
唐海县,"[河北省, 唐山市]",130230.0,3.0,del,2012 年 月 11 日 国务院 批准 同意 撤销 唐海县 设立 唐山市 曹妃甸区,撤县（市）设区,2011-2012,OOOO O O OO O OOO OO OO OO XXX OO XXX XXXX,"[唐海县, 唐山市, 曹妃甸区]"
胶南市,"[山东省, 青岛市]",370284.0,3.0,del,2005 年 胶南市 撤销 隐珠 灵山 卫 铁山 珠山 四个 镇 原 行政区域 设立 隐珠 灵山 卫 铁山 滨海 街道 办事处 12 月 18 日 街道 办事处 正式 挂牌 成立 2012 年 12 月 日 国务院 批复 撤销 青岛市 黄岛区   县级 胶南市 设立 新 青岛市 黄岛区   以原 青岛市 黄岛区 县级 胶南市 行政区域 新 黄岛区 行政区域,合并,2011-2012,OOOO O XXX OO OO OO O OO OO OO O O OOOO OO OO OO O OO OO OO OOO OO O OO O OO OOO OO OO OO OOOO O OO O O OOO OO OO XXX XXX   OO XXX OO O XXX XXX   OO XXX XXX OO XXX OOOO O XXX OOOO,"[黄岛区, 青岛市, 胶南市]"
