o:END_ID,p:TYPE,s:START_ID
370000,located_in,370400
370000,located_in,370500
370000,located_in,370100
370000,located_in,370800
370000,located_in,371700
370000,located_in,371300
370000,located_in,370600
370000,located_in,371200
370000,located_in,370700
370000,located_in,371500
370000,located_in,371100
370000,located_in,370900
370000,located_in,371400
370000,located_in,371600
370000,located_in,370200
370000,located_in,371000
370000,located_in,370300
370400,located_in,370402
370400,located_in,370403
370400,located_in,370404
370400,located_in,370405
370400,located_in,370406
370400,located_in,370481
370500,located_in,370502
370500,located_in,370503
370500,located_in,370505
370500,located_in,370522
370500,located_in,370523
370100,located_in,370102
370100,located_in,370103
370100,located_in,370104
370100,located_in,370105
370100,located_in,370112
370100,located_in,370113
370100,located_in,370114
370100,located_in,370124
370100,located_in,370125
370100,located_in,370126
370800,located_in,370811
370800,located_in,370812
370800,located_in,370826
370800,located_in,370827
370800,located_in,370828
370800,located_in,370829
370800,located_in,370830
370800,located_in,370831
370800,located_in,370832
370800,located_in,370881
370800,located_in,370883
371700,located_in,371702
371700,located_in,371703
371700,located_in,371721
371700,located_in,371722
371700,located_in,371723
371700,located_in,371724
371700,located_in,371725
371700,located_in,371726
371700,located_in,371728
371300,located_in,371302
371300,located_in,371311
371300,located_in,371312
371300,located_in,371321
371300,located_in,371322
371300,located_in,371323
371300,located_in,371324
371300,located_in,371325
371300,located_in,371326
371300,located_in,371327
371300,located_in,371328
371300,located_in,371329
370600,located_in,370602
370600,located_in,370611
370600,located_in,370612
370600,located_in,370613
370600,located_in,370634
370600,located_in,370681
370600,located_in,370682
370600,located_in,370683
370600,located_in,370684
370600,located_in,370685
370600,located_in,370686
370600,located_in,370687
371200,located_in,371202
371200,located_in,371203
370700,located_in,370702
370700,located_in,370703
370700,located_in,370704
370700,located_in,370705
370700,located_in,370724
370700,located_in,370725
370700,located_in,370781
370700,located_in,370782
370700,located_in,370783
370700,located_in,370784
370700,located_in,370785
370700,located_in,370786
371500,located_in,371502
371500,located_in,371521
371500,located_in,371522
371500,located_in,371523
371500,located_in,371524
371500,located_in,371525
371500,located_in,371526
371500,located_in,371581
371100,located_in,371102
371100,located_in,371103
371100,located_in,371121
371100,located_in,371122
370900,located_in,370902
370900,located_in,370911
370900,located_in,370921
370900,located_in,370923
370900,located_in,370982
370900,located_in,370983
371400,located_in,371402
371400,located_in,371403
371400,located_in,371422
371400,located_in,371423
371400,located_in,371424
371400,located_in,371425
371400,located_in,371426
371400,located_in,371427
371400,located_in,371428
371400,located_in,371481
371400,located_in,371482
371600,located_in,371602
371600,located_in,371603
371600,located_in,371621
371600,located_in,371622
371600,located_in,371623
371600,located_in,371625
371600,located_in,371626
370200,located_in,370202
370200,located_in,370203
370200,located_in,370211
370200,located_in,370212
370200,located_in,370213
370200,located_in,370214
370200,located_in,370281
370200,located_in,370282
370200,located_in,370283
370200,located_in,370285
371000,located_in,371002
371000,located_in,371003
371000,located_in,371082
371000,located_in,371083
370300,located_in,370302
370300,located_in,370303
370300,located_in,370304
370300,located_in,370305
370300,located_in,370306
370300,located_in,370321
370300,located_in,370322
370300,located_in,370323
320000,located_in,320400
320000,located_in,320700
320000,located_in,321000
320000,located_in,320100
320000,located_in,320800
320000,located_in,320200
320000,located_in,321300
320000,located_in,321100
320000,located_in,320900
320000,located_in,320300
320000,located_in,320500
320000,located_in,321200
320000,located_in,320600
320400,located_in,320402
320400,located_in,320404
320400,located_in,320411
320400,located_in,320412
320400,located_in,320413
320400,located_in,320481
320700,located_in,320703
320700,located_in,320706
320700,located_in,320707
320700,located_in,320722
320700,located_in,320723
320700,located_in,320724
321000,located_in,321002
321000,located_in,321003
321000,located_in,321012
321000,located_in,321023
321000,located_in,321081
321000,located_in,321084
320100,located_in,320102
320100,located_in,320104
320100,located_in,320105
320100,located_in,320106
320100,located_in,320111
320100,located_in,320113
320100,located_in,320114
320100,located_in,320115
320100,located_in,320116
320100,located_in,320117
320100,located_in,320118
320800,located_in,320803
320800,located_in,320804
320800,located_in,320812
320800,located_in,320813
320800,located_in,320826
320800,located_in,320830
320800,located_in,320831
320200,located_in,320205
320200,located_in,320206
320200,located_in,320211
320200,located_in,320213
320200,located_in,320214
320200,located_in,320281
320200,located_in,320282
321300,located_in,321302
321300,located_in,321311
321300,located_in,321322
321300,located_in,321323
321300,located_in,321324
321100,located_in,321102
321100,located_in,321111
321100,located_in,321112
321100,located_in,321181
321100,located_in,321182
321100,located_in,321183
320900,located_in,320902
320900,located_in,320903
320900,located_in,320904
320900,located_in,320921
320900,located_in,320922
320900,located_in,320923
320900,located_in,320924
320900,located_in,320925
320900,located_in,320981
320300,located_in,320302
320300,located_in,320303
320300,located_in,320305
320300,located_in,320311
320300,located_in,320312
320300,located_in,320321
320300,located_in,320322
320300,located_in,320324
320300,located_in,320381
320300,located_in,320382
320500,located_in,320505
320500,located_in,320506
320500,located_in,320507
320500,located_in,320508
320500,located_in,320509
320500,located_in,320581
320500,located_in,320582
320500,located_in,320583
320500,located_in,320585
321200,located_in,321202
321200,located_in,321203
321200,located_in,321204
321200,located_in,321281
321200,located_in,321282
321200,located_in,321283
320600,located_in,320602
320600,located_in,320611
320600,located_in,320612
320600,located_in,320621
320600,located_in,320623
320600,located_in,320681
320600,located_in,320682
320600,located_in,320684
140000,located_in,140500
140000,located_in,140900
140000,located_in,140300
140000,located_in,140700
140000,located_in,141100
140000,located_in,140600
140000,located_in,140200
140000,located_in,140800
140000,located_in,141000
140000,located_in,140100
140000,located_in,140400
140500,located_in,140502
140500,located_in,140521
140500,located_in,140522
140500,located_in,140524
140500,located_in,140525
140500,located_in,140581
140900,located_in,140902
140900,located_in,140921
140900,located_in,140922
140900,located_in,140923
140900,located_in,140924
140900,located_in,140925
140900,located_in,140926
140900,located_in,140927
140900,located_in,140928
140900,located_in,140929
140900,located_in,140930
140900,located_in,140931
140900,located_in,140932
140900,located_in,140981
140300,located_in,140302
140300,located_in,140303
140300,located_in,140311
140300,located_in,140321
140300,located_in,140322
140700,located_in,140702
140700,located_in,140721
140700,located_in,140722
140700,located_in,140723
140700,located_in,140724
140700,located_in,140725
140700,located_in,140726
140700,located_in,140727
140700,located_in,140728
140700,located_in,140729
140700,located_in,140781
141100,located_in,141102
141100,located_in,141121
141100,located_in,141122
141100,located_in,141123
141100,located_in,141124
141100,located_in,141125
141100,located_in,141126
141100,located_in,141127
141100,located_in,141128
141100,located_in,141129
141100,located_in,141130
141100,located_in,141181
141100,located_in,141182
140600,located_in,140602
140600,located_in,140603
140600,located_in,140621
140600,located_in,140622
140600,located_in,140623
140600,located_in,140624
140200,located_in,140202
140200,located_in,140203
140200,located_in,140211
140200,located_in,140212
140200,located_in,140221
140200,located_in,140222
140200,located_in,140223
140200,located_in,140224
140200,located_in,140225
140200,located_in,140226
140200,located_in,140227
140800,located_in,140802
140800,located_in,140821
140800,located_in,140822
140800,located_in,140823
140800,located_in,140824
140800,located_in,140825
140800,located_in,140826
140800,located_in,140827
140800,located_in,140828
140800,located_in,140829
140800,located_in,140830
140800,located_in,140881
140800,located_in,140882
141000,located_in,141002
141000,located_in,141021
141000,located_in,141022
141000,located_in,141023
141000,located_in,141024
141000,located_in,141025
141000,located_in,141026
141000,located_in,141027
141000,located_in,141028
141000,located_in,141029
141000,located_in,141030
141000,located_in,141031
141000,located_in,141032
141000,located_in,141033
141000,located_in,141034
141000,located_in,141081
141000,located_in,141082
140100,located_in,140105
140100,located_in,140106
140100,located_in,140107
140100,located_in,140108
140100,located_in,140109
140100,located_in,140110
140100,located_in,140121
140100,located_in,140122
140100,located_in,140123
140100,located_in,140181
140400,located_in,140402
140400,located_in,140411
140400,located_in,140421
140400,located_in,140423
140400,located_in,140424
140400,located_in,140425
140400,located_in,140426
140400,located_in,140427
140400,located_in,140428
140400,located_in,140429
140400,located_in,140430
140400,located_in,140431
140400,located_in,140481
530000,located_in,530400
530000,located_in,530300
530000,located_in,532800
530000,located_in,532600
530000,located_in,533100
530000,located_in,530500
530000,located_in,530600
530000,located_in,533400
530000,located_in,530800
530000,located_in,530100
530000,located_in,532300
530000,located_in,530700
530000,located_in,532500
530000,located_in,530900
530000,located_in,533300
530000,located_in,532900
530400,located_in,530402
530400,located_in,530403
530400,located_in,530422
530400,located_in,530423
530400,located_in,530424
530400,located_in,530425
530400,located_in,530426
530400,located_in,530427
530400,located_in,530428
530300,located_in,530302
530300,located_in,530303
530300,located_in,530321
530300,located_in,530322
530300,located_in,530323
530300,located_in,530324
530300,located_in,530325
530300,located_in,530326
530300,located_in,530381
532800,located_in,532801
532800,located_in,532822
532800,located_in,532823
532600,located_in,532601
532600,located_in,532622
532600,located_in,532623
532600,located_in,532624
532600,located_in,532625
532600,located_in,532626
532600,located_in,532627
532600,located_in,532628
533100,located_in,533102
533100,located_in,533103
533100,located_in,533122
533100,located_in,533123
533100,located_in,533124
530500,located_in,530502
530500,located_in,530521
530500,located_in,530523
530500,located_in,530524
530500,located_in,530581
530600,located_in,530602
530600,located_in,530621
530600,located_in,530622
530600,located_in,530623
530600,located_in,530624
530600,located_in,530625
530600,located_in,530626
530600,located_in,530627
530600,located_in,530628
530600,located_in,530629
530600,located_in,530630
533400,located_in,533401
533400,located_in,533422
533400,located_in,533423
530800,located_in,530802
530800,located_in,530821
530800,located_in,530822
530800,located_in,530823
530800,located_in,530824
530800,located_in,530825
530800,located_in,530826
530800,located_in,530827
530800,located_in,530828
530800,located_in,530829
530100,located_in,530102
530100,located_in,530103
530100,located_in,530111
530100,located_in,530112
530100,located_in,530113
530100,located_in,530114
530100,located_in,530115
530100,located_in,530124
530100,located_in,530125
530100,located_in,530126
530100,located_in,530127
530100,located_in,530128
530100,located_in,530129
530100,located_in,530181
532300,located_in,532301
532300,located_in,532322
532300,located_in,532323
532300,located_in,532324
532300,located_in,532325
532300,located_in,532326
532300,located_in,532327
532300,located_in,532328
532300,located_in,532329
532300,located_in,532331
530700,located_in,530702
530700,located_in,530721
530700,located_in,530722
530700,located_in,530723
530700,located_in,530724
532500,located_in,532501
532500,located_in,532502
532500,located_in,532503
532500,located_in,532504
532500,located_in,532523
532500,located_in,532524
532500,located_in,532525
532500,located_in,532527
532500,located_in,532528
532500,located_in,532529
532500,located_in,532530
532500,located_in,532531
532500,located_in,532532
530900,located_in,530902
530900,located_in,530921
530900,located_in,530922
530900,located_in,530923
530900,located_in,530924
530900,located_in,530925
530900,located_in,530926
530900,located_in,530927
533300,located_in,533301
533300,located_in,533323
533300,located_in,533324
533300,located_in,533325
532900,located_in,532901
532900,located_in,532922
532900,located_in,532923
532900,located_in,532924
532900,located_in,532925
532900,located_in,532926
532900,located_in,532927
532900,located_in,532928
532900,located_in,532929
532900,located_in,532930
532900,located_in,532931
532900,located_in,532932
610000,located_in,610700
610000,located_in,610500
610000,located_in,610400
610000,located_in,610900
610000,located_in,610300
610000,located_in,610600
610000,located_in,610100
610000,located_in,610800
610000,located_in,610200
610000,located_in,611000
610700,located_in,610702
610700,located_in,610721
610700,located_in,610722
610700,located_in,610723
610700,located_in,610724
610700,located_in,610725
610700,located_in,610726
610700,located_in,610727
610700,located_in,610728
610700,located_in,610729
610700,located_in,610730
610500,located_in,610502
610500,located_in,610503
610500,located_in,610522
610500,located_in,610523
610500,located_in,610524
610500,located_in,610525
610500,located_in,610526
610500,located_in,610527
610500,located_in,610528
610500,located_in,610581
610500,located_in,610582
610400,located_in,610402
610400,located_in,610403
610400,located_in,610404
610400,located_in,610422
610400,located_in,610423
610400,located_in,610424
610400,located_in,610425
610400,located_in,610426
610400,located_in,610427
610400,located_in,610428
610400,located_in,610429
610400,located_in,610430
610400,located_in,610431
610400,located_in,610481
610900,located_in,610902
610900,located_in,610921
610900,located_in,610922
610900,located_in,610923
610900,located_in,610924
610900,located_in,610925
610900,located_in,610926
610900,located_in,610927
610900,located_in,610928
610900,located_in,610929
610300,located_in,610302
610300,located_in,610303
610300,located_in,610304
610300,located_in,610322
610300,located_in,610323
610300,located_in,610324
610300,located_in,610326
610300,located_in,610327
610300,located_in,610328
610300,located_in,610329
610300,located_in,610330
610300,located_in,610331
610600,located_in,610602
610600,located_in,610603
610600,located_in,610621
610600,located_in,610622
610600,located_in,610623
610600,located_in,610625
610600,located_in,610626
610600,located_in,610627
610600,located_in,610628
610600,located_in,610629
610600,located_in,610630
610600,located_in,610631
610600,located_in,610632
610100,located_in,610102
610100,located_in,610103
610100,located_in,610104
610100,located_in,610111
610100,located_in,610112
610100,located_in,610113
610100,located_in,610114
610100,located_in,610115
610100,located_in,610116
610100,located_in,610117
610100,located_in,610118
610100,located_in,610122
610100,located_in,610124
610800,located_in,610802
610800,located_in,610803
610800,located_in,610821
610800,located_in,610822
610800,located_in,610824
610800,located_in,610825
610800,located_in,610826
610800,located_in,610827
610800,located_in,610828
610800,located_in,610829
610800,located_in,610830
610800,located_in,610831
610200,located_in,610202
610200,located_in,610203
610200,located_in,610204
610200,located_in,610222
611000,located_in,611002
611000,located_in,611021
611000,located_in,611022
611000,located_in,611023
611000,located_in,611024
611000,located_in,611025
611000,located_in,611026
310000,located_in,310117
310000,located_in,310116
310000,located_in,310101
310000,located_in,310105
310000,located_in,310151
310000,located_in,310118
310000,located_in,310112
310000,located_in,310106
310000,located_in,310109
310000,located_in,310120
310000,located_in,310113
310000,located_in,310115
310000,located_in,310104
310000,located_in,310114
310000,located_in,310110
310000,located_in,310107
450000,located_in,450800
450000,located_in,450700
450000,located_in,451200
450000,located_in,450400
450000,located_in,451300
450000,located_in,451100
450000,located_in,450200
450000,located_in,450500
450000,located_in,451400
450000,located_in,450900
450000,located_in,450100
450000,located_in,451000
450000,located_in,450300
450000,located_in,450600
450800,located_in,450802
450800,located_in,450803
450800,located_in,450804
450800,located_in,450821
450800,located_in,450881
450700,located_in,450702
450700,located_in,450703
450700,located_in,450721
450700,located_in,450722
451200,located_in,451202
451200,located_in,451203
451200,located_in,451221
451200,located_in,451222
451200,located_in,451223
451200,located_in,451224
451200,located_in,451225
451200,located_in,451226
451200,located_in,451227
451200,located_in,451228
451200,located_in,451229
450400,located_in,450403
450400,located_in,450405
450400,located_in,450406
450400,located_in,450421
450400,located_in,450422
450400,located_in,450423
450400,located_in,450481
451300,located_in,451302
451300,located_in,451321
451300,located_in,451322
451300,located_in,451323
451300,located_in,451324
451300,located_in,451381
451100,located_in,451102
451100,located_in,451103
451100,located_in,451121
451100,located_in,451122
451100,located_in,451123
450200,located_in,450202
450200,located_in,450203
450200,located_in,450204
450200,located_in,450205
450200,located_in,450206
450200,located_in,450222
450200,located_in,450223
450200,located_in,450224
450200,located_in,450225
450200,located_in,450226
450500,located_in,450502
450500,located_in,450503
450500,located_in,450512
450500,located_in,450521
451400,located_in,451402
451400,located_in,451421
451400,located_in,451422
451400,located_in,451423
451400,located_in,451424
451400,located_in,451425
451400,located_in,451481
450900,located_in,450902
450900,located_in,450903
450900,located_in,450921
450900,located_in,450922
450900,located_in,450923
450900,located_in,450924
450900,located_in,450981
450100,located_in,450102
450100,located_in,450103
450100,located_in,450105
450100,located_in,450107
450100,located_in,450108
450100,located_in,450109
450100,located_in,450110
450100,located_in,450123
450100,located_in,450124
450100,located_in,450125
450100,located_in,450126
450100,located_in,450127
451000,located_in,451002
451000,located_in,451021
451000,located_in,451022
451000,located_in,451023
451000,located_in,451024
451000,located_in,451026
451000,located_in,451027
451000,located_in,451028
451000,located_in,451029
451000,located_in,451030
451000,located_in,451031
451000,located_in,451081
450300,located_in,450302
450300,located_in,450303
450300,located_in,450304
450300,located_in,450305
450300,located_in,450311
450300,located_in,450312
450300,located_in,450321
450300,located_in,450323
450300,located_in,450324
450300,located_in,450325
450300,located_in,450326
450300,located_in,450327
450300,located_in,450328
450300,located_in,450329
450300,located_in,450330
450300,located_in,450331
450300,located_in,450332
450600,located_in,450602
450600,located_in,450603
450600,located_in,450621
450600,located_in,450681
500000,located_in,500153
500000,located_in,500156
500000,located_in,500118
500000,located_in,500102
500000,located_in,500112
500000,located_in,500154
500000,located_in,500230
500000,located_in,500237
500000,located_in,500242
500000,located_in,500111
500000,located_in,500109
500000,located_in,500233
500000,located_in,500235
500000,located_in,500120
500000,located_in,500107
500000,located_in,500152
500000,located_in,500104
500000,located_in,500114
500000,located_in,500243
500000,located_in,500101
500000,located_in,500108
500000,located_in,500236
500000,located_in,500106
500000,located_in,500116
500000,located_in,500105
500000,located_in,500110
500000,located_in,500241
500000,located_in,500238
500000,located_in,500115
500000,located_in,500229
500000,located_in,500117
500000,located_in,500231
500000,located_in,500155
500000,located_in,500103
500000,located_in,500240
500000,located_in,500113
500000,located_in,500119
500000,located_in,500151
340000,located_in,341500
340000,located_in,340400
340000,located_in,340700
340000,located_in,341800
340000,located_in,341200
340000,located_in,341300
340000,located_in,341100
340000,located_in,341000
340000,located_in,340300
340000,located_in,340600
340000,located_in,340800
340000,located_in,341600
340000,located_in,340500
340000,located_in,340200
340000,located_in,341700
340000,located_in,340100
341500,located_in,341502
341500,located_in,341503
341500,located_in,341504
341500,located_in,341522
341500,located_in,341523
341500,located_in,341524
341500,located_in,341525
340400,located_in,340402
340400,located_in,340403
340400,located_in,340404
340400,located_in,340405
340400,located_in,340406
340400,located_in,340421
340400,located_in,340422
340700,located_in,340705
340700,located_in,340706
340700,located_in,340711
340700,located_in,340722
341800,located_in,341802
341800,located_in,341821
341800,located_in,341822
341800,located_in,341823
341800,located_in,341824
341800,located_in,341825
341800,located_in,341881
341200,located_in,341202
341200,located_in,341203
341200,located_in,341204
341200,located_in,341221
341200,located_in,341222
341200,located_in,341225
341200,located_in,341226
341200,located_in,341282
341300,located_in,341302
341300,located_in,341321
341300,located_in,341322
341300,located_in,341323
341300,located_in,341324
341100,located_in,341102
341100,located_in,341103
341100,located_in,341122
341100,located_in,341124
341100,located_in,341125
341100,located_in,341126
341100,located_in,341181
341100,located_in,341182
341000,located_in,341002
341000,located_in,341003
341000,located_in,341004
341000,located_in,341021
341000,located_in,341022
341000,located_in,341023
341000,located_in,341024
340300,located_in,340302
340300,located_in,340303
340300,located_in,340304
340300,located_in,340311
340300,located_in,340321
340300,located_in,340322
340300,located_in,340323
340600,located_in,340602
340600,located_in,340603
340600,located_in,340604
340600,located_in,340621
340800,located_in,340802
340800,located_in,340803
340800,located_in,340811
340800,located_in,340822
340800,located_in,340824
340800,located_in,340825
340800,located_in,340826
340800,located_in,340827
340800,located_in,340828
340800,located_in,340881
341600,located_in,341602
341600,located_in,341621
341600,located_in,341622
341600,located_in,341623
340500,located_in,340503
340500,located_in,340504
340500,located_in,340506
340500,located_in,340521
340500,located_in,340522
340500,located_in,340523
340200,located_in,340202
340200,located_in,340203
340200,located_in,340207
340200,located_in,340208
340200,located_in,340221
340200,located_in,340222
340200,located_in,340223
340200,located_in,340225
341700,located_in,341702
341700,located_in,341721
341700,located_in,341722
341700,located_in,341723
340100,located_in,340102
340100,located_in,340103
340100,located_in,340104
340100,located_in,340111
340100,located_in,340121
340100,located_in,340122
340100,located_in,340123
340100,located_in,340124
340100,located_in,340181
230000,located_in,230500
230000,located_in,230900
230000,located_in,230600
230000,located_in,230200
230000,located_in,232700
230000,located_in,230300
230000,located_in,231200
230000,located_in,231100
230000,located_in,230800
230000,located_in,230700
230000,located_in,230100
230000,located_in,230400
230000,located_in,231000
230500,located_in,230502
230500,located_in,230503
230500,located_in,230505
230500,located_in,230506
230500,located_in,230521
230500,located_in,230522
230500,located_in,230523
230500,located_in,230524
230900,located_in,230902
230900,located_in,230903
230900,located_in,230904
230900,located_in,230921
230600,located_in,230602
230600,located_in,230603
230600,located_in,230604
230600,located_in,230605
230600,located_in,230606
230600,located_in,230621
230600,located_in,230622
230600,located_in,230623
230600,located_in,230624
230200,located_in,230202
230200,located_in,230203
230200,located_in,230204
230200,located_in,230205
230200,located_in,230206
230200,located_in,230207
230200,located_in,230208
230200,located_in,230221
230200,located_in,230223
230200,located_in,230224
230200,located_in,230225
230200,located_in,230227
230200,located_in,230229
230200,located_in,230230
230200,located_in,230231
230200,located_in,230281
232700,located_in,232721
232700,located_in,232722
232700,located_in,232723
230300,located_in,230302
230300,located_in,230303
230300,located_in,230304
230300,located_in,230305
230300,located_in,230306
230300,located_in,230307
230300,located_in,230321
230300,located_in,230381
230300,located_in,230382
231200,located_in,231202
231200,located_in,231221
231200,located_in,231222
231200,located_in,231223
231200,located_in,231224
231200,located_in,231225
231200,located_in,231226
231200,located_in,231281
231200,located_in,231282
231200,located_in,231283
231100,located_in,231102
231100,located_in,231121
231100,located_in,231123
231100,located_in,231124
231100,located_in,231181
231100,located_in,231182
230800,located_in,230803
230800,located_in,230804
230800,located_in,230805
230800,located_in,230811
230800,located_in,230822
230800,located_in,230826
230800,located_in,230828
230800,located_in,230881
230800,located_in,230882
230800,located_in,230883
230700,located_in,230702
230700,located_in,230703
230700,located_in,230704
230700,located_in,230705
230700,located_in,230706
230700,located_in,230707
230700,located_in,230708
230700,located_in,230709
230700,located_in,230710
230700,located_in,230711
230700,located_in,230712
230700,located_in,230713
230700,located_in,230714
230700,located_in,230715
230700,located_in,230716
230700,located_in,230722
230700,located_in,230781
